date,year,locality,estimated_value,sale_price,property,residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,face,year_from_date,month_num,month_name,year_month,price_diff,pct_diff,valuation_status,sale_price_outlier_flag,estimated_value_outlier_flag,price_diff_outlier_flag,pct_diff_outlier_flag
2009-01-05,2009,Greenwich,1162140.0,1990000.0,Single Family,Detached House,3,1,1021.0,1.025953,North,2009,1,January,2009-01,827860.0,71.23582356686802,Overvalued,True,True,True,False
2009-01-05,2009,Unknown,71960.0,219000.0,?,Triplex,6,4,1021.0,1.025953,South,2009,1,January,2009-01,147040.0,204.33574207893273,Overvalued,False,False,False,True
2009-01-08,2009,Waterbury,56070.0,75000.0,Two Family,Duplex,4,2,1373.0,1.025953,West,2009,1,January,2009-01,18930.0,33.7613697164259,Overvalued,False,False,False,False
2009-01-08,2009,Bridgeport,160904.0,399900.0,Two Family,Duplex,4,2,1284.0,1.025953,East,2009,1,January,2009-01,238996.0,148.533286928852,Overvalued,False,False,False,False
2009-01-08,2009,Norwalk,342090.0,850000.0,Single Family,Detached House,3,1,914.0,1.025953,East,2009,1,January,2009-01,507910.0,148.4726241632319,Overvalued,False,False,True,False
2009-01-08,2009,Bridgeport,71050.0,280000.0,Two Family,Duplex,4,3,1295.0,1.025953,East,2009,1,January,2009-01,208950.0,294.0886699507389,Overvalued,False,False,False,True
2009-01-08,2009,Bridgeport,60483.0,144500.0,?,Detached House,3,1,1095.0,1.025953,East,2009,1,January,2009-01,84017.0,138.91010697220707,Overvalued,False,False,False,False
2009-01-08,2009,Unknown,75250.0,205000.0,Single Family,Detached House,3,2,1043.0,1.025953,East,2009,1,January,2009-01,129750.0,172.42524916943523,Overvalued,False,False,False,True
2009-01-09,2009,Bridgeport,135870.0,362560.0,Two Family,Duplex,4,2,1338.0,1.025953,West,2009,1,January,2009-01,226690.0,166.8433061014205,Overvalued,False,False,False,True
2009-01-09,2009,Norwalk,154210.0,412000.0,Single Family,Detached House,3,1,955.0,1.025953,South,2009,1,January,2009-01,257790.0,167.16814733156087,Overvalued,False,False,False,True
2009-01-10,2009,Greenwich,2498720.0,4000000.0,Single Family,Detached House,3,2,1021.0,1.025953,North,2009,1,January,2009-01,1501280.0,60.08196196452583,Overvalued,True,True,True,False
2009-01-10,2009,Bridgeport,121870.0,305000.0,Three Family,Triplex,6,6,1817.0,1.025953,South,2009,1,January,2009-01,183130.0,150.26667760728645,Overvalued,False,False,False,False
2009-01-11,2009,Greenwich,693280.0,1820000.0,?,Detached House,3,3,1021.0,1.025953,East,2009,1,January,2009-01,1126720.0,162.52019386106625,Overvalued,True,False,True,True
2009-01-12,2009,Greenwich,2215010.0,2925000.0,Single Family,Detached House,3,2,1065.0,1.025953,West,2009,1,January,2009-01,709990.0,32.0535798935445,Overvalued,True,True,True,False
2009-01-12,2009,Greenwich,1017400.0,1052000.0,Single Family,Detached House,3,2,984.0,1.025953,East,2009,1,January,2009-01,34600.0,3.40082563396894,Fair,False,True,False,False
2009-01-12,2009,Bridgeport,68838.0,145000.0,Single Family,Detached House,3,2,1021.0,1.025953,East,2009,1,January,2009-01,76162.0,110.63947238443883,Overvalued,False,False,False,False
2009-01-16,2009,Bridgeport,159460.0,384000.0,Three Family,Triplex,6,4,2131.0,1.025953,West,2009,1,January,2009-01,224540.0,140.81274300765082,Overvalued,False,False,False,False
2009-01-16,2009,Bridgeport,93521.0,202500.0,Single Family,Detached House,3,2,952.0,1.025953,East,2009,1,January,2009-01,108979.0,116.52890794580897,Overvalued,False,False,False,False
2009-01-16,2009,Unknown,186970.0,500000.0,Two Family,Duplex,4,2,1389.0,1.025953,West,2009,1,January,2009-01,313030.0,167.4225811627534,Overvalued,False,False,False,True
2009-01-16,2009,Norwalk,212240.0,437000.0,Single Family,Detached House,3,3,967.0,1.025953,West,2009,1,January,2009-01,224760.0,105.89898228420655,Overvalued,False,False,False,False
2009-01-17,2009,Bridgeport,115290.0,289900.0,Single Family,Detached House,3,1,963.0,1.025953,South,2009,1,January,2009-01,174610.0,151.45285801023508,Overvalued,False,False,False,False
2009-01-18,2009,Bridgeport,128381.0,330000.0,Single Family,Detached House,3,3,959.0,1.025953,North,2009,1,January,2009-01,201619.0,157.04738240082256,Overvalued,False,False,False,True
2009-01-18,2009,Greenwich,875700.0,1372500.0,Single Family,Detached House,3,1,1079.0,1.025953,East,2009,1,January,2009-01,496800.0,56.731757451181906,Overvalued,True,False,True,False
2009-01-18,2009,Greenwich,1452500.0,2000000.0,?,Detached House,3,2,973.0,1.025953,North,2009,1,January,2009-01,547500.0,37.693631669535286,Overvalued,True,True,True,False
2009-01-19,2009,Unknown,257600.0,450000.0,Single Family,Detached House,3,1,1021.0,1.025953,East,2009,1,January,2009-01,192400.0,74.68944099378882,Overvalued,False,False,False,False
2009-01-22,2009,Waterbury,53200.0,289000.0,Single Family,Detached House,3,3,999.0,1.025953,North,2009,1,January,2009-01,235800.0,443.2330827067669,Overvalued,False,False,False,True
2009-01-22,2009,Bridgeport,417904.0,232677.0,Three Family,Triplex,6,5,1819.0,1.025953,West,2009,1,January,2009-01,-185227.0,-44.32285883839351,Undervalued,False,False,False,False
2009-01-23,2009,Bridgeport,105560.0,224500.0,Single Family,Detached House,3,1,1062.0,1.025953,East,2009,1,January,2009-01,118940.0,112.67525577870406,Overvalued,False,False,False,False
2009-01-23,2009,Fairfield,545860.0,720000.0,Single Family,Detached House,3,2,1056.0,1.025953,East,2009,1,January,2009-01,174140.0,31.901952881691276,Overvalued,False,False,False,False
2009-01-23,2009,Norwalk,198310.0,422000.0,Single Family,Detached House,3,1,954.0,1.025953,East,2009,1,January,2009-01,223690.0,112.79814431949977,Overvalued,False,False,False,False
2009-01-24,2009,Norwalk,423850.0,740000.0,?,Detached House,3,2,1080.0,1.025953,West,2009,1,January,2009-01,316150.0,74.59006724076914,Overvalued,False,False,False,False
2009-01-24,2009,Greenwich,1152270.0,1750000.0,Single Family,Detached House,3,3,1040.0,1.025953,South,2009,1,January,2009-01,597730.0,51.87412672377134,Overvalued,True,True,True,False
2009-01-24,2009,Waterbury,60270.0,154000.0,Single Family,Detached House,3,2,1030.0,1.025953,East,2009,1,January,2009-01,93730.0,155.51684088269454,Overvalued,False,False,False,False
2009-01-26,2009,Fairfield,451500.0,1000000.0,Single Family,Detached House,3,1,1064.0,1.025953,South,2009,1,January,2009-01,548500.0,121.48394241417498,Overvalued,False,False,True,False
2009-01-26,2009,Unknown,7167580.0,105000.0,Single Family,Detached House,3,3,919.0,1.025953,East,2009,1,January,2009-01,-7062580.0,-98.53507041428209,Undervalued,False,True,True,True
2009-01-26,2009,Unknown,17500.0,29000.0,Single Family,Detached House,3,2,960.0,1.025953,South,2009,1,January,2009-01,11500.0,65.71428571428571,Overvalued,False,False,False,False
2009-01-26,2009,Bridgeport,117670.0,249900.0,Single Family,Detached House,3,3,931.0,1.025953,North,2009,1,January,2009-01,132230.0,112.37358715050564,Overvalued,False,False,False,False
2009-01-26,2009,Unknown,735350.0,1300000.0,Single Family,Detached House,3,3,1097.0,1.025953,West,2009,1,January,2009-01,564650.0,76.78656422111919,Overvalued,False,False,True,False
2009-01-27,2009,Unknown,78050.0,82500.0,Single Family,Detached House,3,2,934.0,1.025953,North,2009,1,January,2009-01,4450.0,5.701473414477898,Overvalued,False,False,False,False
2009-01-29,2009,Unknown,2501660.0,4475000.0,Single Family,Detached House,3,1,1021.0,1.025953,West,2009,1,January,2009-01,1973340.0,78.88122286801563,Overvalued,True,True,True,False
2009-01-29,2009,Norwalk,350000.0,1600000.0,Single Family,Detached House,3,2,904.0,1.025953,East,2009,1,January,2009-01,1250000.0,357.14285714285717,Overvalued,True,False,True,True
2009-01-29,2009,Fairfield,352380.0,400000.0,?,Detached House,3,2,955.0,1.025953,South,2009,1,January,2009-01,47620.0,13.513820307622455,Overvalued,False,False,False,False
2009-01-30,2009,Waterbury,59010.0,129900.0,Single Family,Detached House,3,1,1046.0,1.025953,South,2009,1,January,2009-01,70890.0,120.13218098627351,Overvalued,False,False,False,False
2009-01-30,2009,Norwalk,1954890.0,2700000.0,Single Family,Detached House,3,3,1034.0,1.025953,South,2009,1,January,2009-01,745110.0,38.11518806684775,Overvalued,True,True,True,False
2009-01-30,2009,Norwalk,412440.0,712500.0,?,Detached House,3,3,1041.0,1.025953,East,2009,1,January,2009-01,300060.0,72.7524003491417,Overvalued,False,False,False,False
2009-01-31,2009,Greenwich,6246170.0,8500000.0,Single Family,Detached House,3,1,1080.0,1.025953,South,2009,1,January,2009-01,2253830.0,36.083391902557885,Overvalued,True,True,True,False
2009-01-31,2009,Greenwich,2540720.0,3845000.0,Single Family,Detached House,3,3,1021.0,1.025953,East,2009,1,January,2009-01,1304280.0,51.33505463018358,Overvalued,True,True,True,False
2009-01-31,2009,Waterbury,62650.0,101555.0,?,Detached House,3,3,936.0,1.025953,South,2009,1,January,2009-01,38905.0,62.09896249002394,Overvalued,False,False,False,False
2009-01-31,2009,Waterbury,88480.0,220000.0,Single Family,Detached House,3,1,1057.0,1.025953,East,2009,1,January,2009-01,131520.0,148.64376130198914,Overvalued,False,False,False,False
2009-01-31,2009,Fairfield,425180.0,565000.0,?,Detached House,3,1,928.0,1.025953,West,2009,1,January,2009-01,139820.0,32.88489580883391,Overvalued,False,False,False,False
2009-01-31,2009,Norwalk,234290.0,60000.0,Single Family,Detached House,3,3,1021.0,1.025953,South,2009,1,January,2009-01,-174290.0,-74.3907123650177,Undervalued,False,False,False,False
2009-01-31,2009,Fairfield,243740.0,340000.0,Single Family,Detached House,3,1,906.0,1.025953,West,2009,1,January,2009-01,96260.0,39.49290227291376,Overvalued,False,False,False,False
2009-02-01,2009,Unknown,141820.0,235000.0,?,Duplex,4,2,1356.0,1.025953,East,2009,2,February,2009-02,93180.0,65.70300380764348,Overvalued,False,False,False,False
2009-02-01,2009,Unknown,120470.0,280000.0,Single Family,Detached House,3,1,959.0,1.025953,West,2009,2,February,2009-02,159530.0,132.42300987797793,Overvalued,False,False,False,False
2009-02-01,2009,Unknown,46200.0,124900.0,Single Family,Detached House,3,3,915.0,1.025953,North,2009,2,February,2009-02,78700.0,170.34632034632037,Overvalued,False,False,False,True
2009-02-01,2009,Waterbury,67270.0,200000.0,Two Family,Duplex,4,4,1300.0,1.025953,South,2009,2,February,2009-02,132730.0,197.30935037906943,Overvalued,False,False,False,True
2009-02-01,2009,Bridgeport,85540.0,230000.0,Single Family,Detached House,3,3,1016.0,1.025953,North,2009,2,February,2009-02,144460.0,168.88005611409866,Overvalued,False,False,False,True
2009-02-01,2009,Bridgeport,83161.0,190000.0,Single Family,Detached House,3,3,900.0,1.025953,South,2009,2,February,2009-02,106839.0,128.47248109089597,Overvalued,False,False,False,False
2009-02-01,2009,Fairfield,717010.0,820000.0,?,Detached House,3,2,958.0,1.025953,North,2009,2,February,2009-02,102990.0,14.36381640423425,Overvalued,False,False,False,False
2009-02-01,2009,Greenwich,628460.0,800000.0,Single Family,Detached House,3,3,1025.0,1.025953,East,2009,2,February,2009-02,171540.0,27.29529325653184,Overvalued,False,False,False,False
2009-02-02,2009,Unknown,95410.0,159000.0,Single Family,Detached House,3,1,947.0,1.025953,East,2009,2,February,2009-02,63590.0,66.64919819725395,Overvalued,False,False,False,False
2009-02-02,2009,Greenwich,651630.0,770000.0,Single Family,Detached House,3,2,1029.0,1.025953,East,2009,2,February,2009-02,118370.0,18.165216457191967,Overvalued,False,False,False,False
2009-02-02,2009,Unknown,324240.0,500000.0,?,Duplex,4,2,1498.0,1.025953,South,2009,2,February,2009-02,175760.0,54.20676042437701,Overvalued,False,False,False,False
2009-02-05,2009,Bridgeport,133070.0,290000.0,Single Family,Detached House,3,3,1023.0,1.025953,East,2009,2,February,2009-02,156930.0,117.93041256481551,Overvalued,False,False,False,False
2009-02-05,2009,Waterbury,67200.0,184900.0,Three Family,Triplex,6,4,1821.0,1.025953,East,2009,2,February,2009-02,117700.0,175.14880952380955,Overvalued,False,False,False,True
2009-02-05,2009,Waterbury,96250.0,215000.0,?,Detached House,3,2,1095.0,1.025953,West,2009,2,February,2009-02,118750.0,123.37662337662339,Overvalued,False,False,False,False
2009-02-05,2009,Fairfield,1334270.0,490500.0,?,Detached House,3,2,929.0,1.025953,East,2009,2,February,2009-02,-843770.0,-63.238325076633664,Undervalued,False,True,True,False
2009-02-05,2009,Waterbury,78680.0,175000.0,Three Family,Triplex,6,4,2062.0,1.025953,West,2009,2,February,2009-02,96320.0,122.41992882562278,Overvalued,False,False,False,False
2009-02-08,2009,Bridgeport,174231.0,363000.0,Four Family,Fourplex,8,6,2935.0,1.025953,South,2009,2,February,2009-02,188769.0,108.34409490848356,Overvalued,False,False,False,False
2009-02-08,2009,Fairfield,457380.0,750000.0,?,Detached House,3,3,995.0,1.025953,South,2009,2,February,2009-02,292620.0,63.97743670470943,Overvalued,False,False,False,False
2009-02-09,2009,Unknown,162890.0,288000.0,Single Family,Detached House,3,3,1021.0,1.025953,East,2009,2,February,2009-02,125110.0,76.80643378967402,Overvalued,False,False,False,False
2009-02-12,2009,Greenwich,2828910.0,4450000.0,Single Family,Detached House,3,2,920.0,1.025953,East,2009,2,February,2009-02,1621090.0,57.30440346281783,Overvalued,True,True,True,False
2009-02-12,2009,Norwalk,206010.0,320000.0,Single Family,Detached House,3,1,913.0,1.025953,South,2009,2,February,2009-02,113990.0,55.33226542400854,Overvalued,False,False,False,False
2009-02-13,2009,Bridgeport,148121.0,248000.0,?,Detached House,3,1,1043.0,1.025953,West,2009,2,February,2009-02,99879.0,67.43068167241647,Overvalued,False,False,False,False
2009-02-15,2009,Bridgeport,73220.0,299900.0,Three Family,Triplex,6,4,2142.0,1.025953,West,2009,2,February,2009-02,226680.0,309.5875443867796,Overvalued,False,False,False,True
2009-02-15,2009,Greenwich,1849120.0,3500000.0,Single Family,Detached House,3,2,928.0,1.025953,North,2009,2,February,2009-02,1650880.0,89.27922471229557,Overvalued,True,True,True,False
2009-02-15,2009,Bridgeport,117601.0,230000.0,Single Family,Detached House,3,2,1016.0,1.025953,South,2009,2,February,2009-02,112399.0,95.57656822646065,Overvalued,False,False,False,False
2009-02-16,2009,Waterbury,76580.0,156000.0,?,Detached House,3,1,1021.0,1.025953,East,2009,2,February,2009-02,79420.0,103.70854008879601,Overvalued,False,False,False,False
2009-02-16,2009,Waterbury,70140.0,110000.0,Single Family,Detached House,3,2,909.0,1.025953,South,2009,2,February,2009-02,39860.0,56.829198745366405,Overvalued,False,False,False,False
2009-02-16,2009,Bridgeport,110390.0,250000.0,Single Family,Detached House,3,1,904.0,1.025953,West,2009,2,February,2009-02,139610.0,126.46978893015672,Overvalued,False,False,False,False
2009-02-16,2009,Bridgeport,168000.0,399900.0,?,Triplex,6,4,1876.0,1.025953,South,2009,2,February,2009-02,231900.0,138.03571428571428,Overvalued,False,False,False,False
2009-02-16,2009,Waterbury,77070.0,177000.0,Single Family,Detached House,3,1,975.0,1.025953,West,2009,2,February,2009-02,99930.0,129.66134682755936,Overvalued,False,False,False,False
2009-02-16,2009,Bridgeport,91770.0,214000.0,Single Family,Detached House,3,3,1021.0,1.025953,North,2009,2,February,2009-02,122230.0,133.1916748392721,Overvalued,False,False,False,False
2009-02-20,2009,Bridgeport,61228.0,7000.0,Single Family,Detached House,3,1,1058.0,1.025953,East,2009,2,February,2009-02,-54228.0,-88.56732214019729,Undervalued,False,False,False,True
2009-02-20,2009,Waterbury,57820.0,135000.0,Single Family,Detached House,3,2,909.0,1.025953,North,2009,2,February,2009-02,77180.0,133.4832237979938,Overvalued,False,False,False,False
2009-02-20,2009,Waterbury,63010.0,100000.0,?,Detached House,3,2,952.0,1.025953,South,2009,2,February,2009-02,36990.0,58.70496746548167,Overvalued,False,False,False,False
2009-02-21,2009,Greenwich,653450.0,1250000.0,Single Family,Detached House,3,2,932.0,1.025953,South,2009,2,February,2009-02,596550.0,91.29237126023413,Overvalued,False,False,True,False
2009-02-21,2009,Waterbury,47050.0,96400.0,Single Family,Detached House,3,1,913.0,1.025953,West,2009,2,February,2009-02,49350.0,104.88841657810839,Overvalued,False,False,False,False
2009-02-22,2009,Greenwich,2844800.0,5625000.0,?,Detached House,3,2,1067.0,1.025953,West,2009,2,February,2009-02,2780200.0,97.72919010123734,Overvalued,True,True,True,False
2009-02-22,2009,Bridgeport,56000.0,240000.0,Single Family,Detached House,3,2,959.0,1.025953,South,2009,2,February,2009-02,184000.0,328.57142857142856,Overvalued,False,False,False,True
2009-02-22,2009,Waterbury,91210.0,212300.0,?,Triplex,6,6,1928.0,1.025953,South,2009,2,February,2009-02,121090.0,132.75956583707926,Overvalued,False,False,False,False
2009-02-23,2009,Norwalk,649530.0,1049000.0,?,Detached House,3,2,1100.0,1.025953,West,2009,2,February,2009-02,399470.0,61.501393315166354,Overvalued,False,False,False,False
2009-02-23,2009,Waterbury,52510.0,121500.0,Two Family,Duplex,4,4,1487.0,1.025953,West,2009,2,February,2009-02,68990.0,131.38449819082078,Overvalued,False,False,False,False
2009-02-26,2009,Fairfield,221060.0,300000.0,Single Family,Detached House,3,3,1009.0,1.025953,North,2009,2,February,2009-02,78940.0,35.709762055550534,Overvalued,False,False,False,False
2009-02-27,2009,Waterbury,59010.0,230000.0,Three Family,Triplex,6,5,2041.0,1.025953,North,2009,2,February,2009-02,170990.0,289.7644467039485,Overvalued,False,False,False,True
2009-02-28,2009,Greenwich,608720.0,826000.0,Two Family,Duplex,4,4,1365.0,1.025953,South,2009,2,February,2009-02,217280.0,35.694572217111315,Overvalued,False,False,False,False
2009-02-28,2009,Greenwich,2656080.0,4755018.0,?,Detached House,3,3,1021.0,1.025953,West,2009,2,February,2009-02,2098938.0,79.02389988253366,Overvalued,True,True,True,False
2009-03-01,2009,Greenwich,1400910.0,1900000.0,Single Family,Detached House,3,2,960.0,1.025953,West,2009,3,March,2009-03,499090.0,35.626128730610816,Overvalued,True,True,True,False
2009-03-01,2009,Norwalk,264040.0,569900.0,Single Family,Detached House,3,1,1027.0,1.025953,West,2009,3,March,2009-03,305860.0,115.83850931677017,Overvalued,False,False,False,False
2009-03-01,2009,Greenwich,2098950.0,3000000.0,Single Family,Detached House,3,1,939.0,1.025953,West,2009,3,March,2009-03,901050.0,42.92860716072322,Overvalued,True,True,True,False
2009-03-01,2009,Waterbury,55300.0,48521.0,Single Family,Detached House,3,1,1061.0,1.025953,North,2009,3,March,2009-03,-6779.0,-12.258589511754069,Undervalued,False,False,False,False
2009-03-01,2009,Fairfield,828030.0,1425000.0,Single Family,Detached House,3,3,1024.0,1.025953,South,2009,3,March,2009-03,596970.0,72.09521394152387,Overvalued,True,False,True,False
2009-03-02,2009,Unknown,139300.0,285000.0,Single Family,Detached House,3,3,929.0,1.025953,South,2009,3,March,2009-03,145700.0,104.59440057430007,Overvalued,False,False,False,False
2009-03-02,2009,Unknown,146930.0,289000.0,Single Family,Detached House,3,3,1012.0,1.025953,North,2009,3,March,2009-03,142070.0,96.69230245695229,Overvalued,False,False,False,False
2009-03-02,2009,Unknown,82810.0,191500.0,?,Detached House,3,3,1097.0,1.025953,South,2009,3,March,2009-03,108690.0,131.2522642192972,Overvalued,False,False,False,False
2009-03-02,2009,Unknown,341040.0,550000.0,Single Family,Detached House,3,3,1021.0,1.025953,West,2009,3,March,2009-03,208960.0,61.27140511376965,Overvalued,False,False,False,False
2009-03-05,2009,Bridgeport,96600.0,183000.0,Two Family,Duplex,4,3,1426.0,1.025953,East,2009,3,March,2009-03,86400.0,89.44099378881988,Overvalued,False,False,False,False
2009-03-05,2009,Waterbury,92120.0,223000.0,Single Family,Detached House,3,3,937.0,1.025953,West,2009,3,March,2009-03,130880.0,142.0755536257056,Overvalued,False,False,False,False
2009-03-05,2009,Waterbury,55510.0,130000.0,Three Family,Triplex,6,5,2003.0,1.025953,North,2009,3,March,2009-03,74490.0,134.19203747072598,Overvalued,False,False,False,False
2009-03-06,2009,Fairfield,2072490.0,2084000.0,?,Detached House,3,3,1021.0,1.025953,East,2009,3,March,2009-03,11510.0,0.5553705928617267,Fair,True,True,False,False
2009-03-06,2009,Unknown,369810.0,385000.0,Single Family,Detached House,3,3,1052.0,1.025953,South,2009,3,March,2009-03,15190.0,4.107514669695249,Fair,False,False,False,False
2009-03-07,2009,Bridgeport,126070.0,271000.0,Single Family,Detached House,3,1,1052.0,1.025953,West,2009,3,March,2009-03,144930.0,114.95994288887125,Overvalued,False,False,False,False
2009-03-08,2009,Waterbury,85820.0,229000.0,Three Family,Triplex,6,6,1021.0,1.025953,West,2009,3,March,2009-03,143180.0,166.83756700069915,Overvalued,False,False,False,True
2009-03-08,2009,Bridgeport,120121.0,278100.0,?,Detached House,3,1,1037.0,1.025953,East,2009,3,March,2009-03,157979.0,131.5165541412409,Overvalued,False,False,False,False
2009-03-08,2009,Greenwich,1690010.0,1700000.0,?,Detached House,3,2,1037.0,1.025953,South,2009,3,March,2009-03,9990.0,0.5911207625990378,Fair,True,True,False,False
2009-03-12,2009,Waterbury,15050.0,102000.0,Single Family,Detached House,3,2,1021.0,1.025953,West,2009,3,March,2009-03,86950.0,577.7408637873754,Overvalued,False,False,False,True
2009-03-12,2009,Unknown,252980.0,691000.0,?,Fourplex,8,7,2429.0,1.025953,West,2009,3,March,2009-03,438020.0,173.14412206498537,Overvalued,False,False,False,True
2009-03-13,2009,Unknown,113750.0,195000.0,Three Family,Triplex,6,6,2004.0,1.025953,West,2009,3,March,2009-03,81250.0,71.42857142857143,Overvalued,False,False,False,False
2009-03-13,2009,Bridgeport,117110.0,267500.0,Single Family,Detached House,3,2,948.0,1.025953,South,2009,3,March,2009-03,150390.0,128.41772692340533,Overvalued,False,False,False,False
2009-03-13,2009,Fairfield,747250.0,1160000.0,Single Family,Detached House,3,1,1024.0,1.025953,South,2009,3,March,2009-03,412750.0,55.23586483773837,Overvalued,False,False,False,False
2009-03-14,2009,Greenwich,556780.0,850000.0,?,Duplex,4,3,1021.0,1.025953,West,2009,3,March,2009-03,293220.0,52.6635295808039,Overvalued,False,False,False,False
2009-03-14,2009,Fairfield,4102560.0,7850000.0,Single Family,Detached House,3,2,964.0,1.025953,North,2009,3,March,2009-03,3747440.0,91.34394134394135,Overvalued,True,True,True,False
2009-03-14,2009,Bridgeport,115360.0,233000.0,Two Family,Duplex,4,2,1454.0,1.025953,North,2009,3,March,2009-03,117640.0,101.97642163661583,Overvalued,False,False,False,False
2009-03-14,2009,Waterbury,46980.0,159000.0,Two Family,Duplex,4,4,1226.0,1.025953,East,2009,3,March,2009-03,112020.0,238.4418901660281,Overvalued,False,False,False,True
2009-03-15,2009,Greenwich,1214570.0,2200000.0,Single Family,Detached House,3,1,908.0,1.025953,East,2009,3,March,2009-03,985430.0,81.1340639073911,Overvalued,True,True,True,False
2009-03-15,2009,Norwalk,248788.0,490000.0,Single Family,Detached House,3,1,940.0,1.025953,West,2009,3,March,2009-03,241212.0,96.9548370500185,Overvalued,False,False,False,False
2009-03-15,2009,Bridgeport,166014.0,395000.0,Three Family,Triplex,6,4,2184.0,1.025953,East,2009,3,March,2009-03,228986.0,137.93174069656774,Overvalued,False,False,False,False
2009-03-19,2009,Norwalk,197400.0,340000.0,Single Family,Detached House,3,2,1025.0,1.025953,East,2009,3,March,2009-03,142600.0,72.23910840932118,Overvalued,False,False,False,False
2009-03-19,2009,Waterbury,55860.0,148847.0,Two Family,Duplex,4,2,1339.0,1.025953,East,2009,3,March,2009-03,92987.0,166.46437522377374,Overvalued,False,False,False,True
2009-03-19,2009,Norwalk,358470.0,705000.0,?,Detached House,3,3,1021.0,1.025953,East,2009,3,March,2009-03,346530.0,96.66917733701565,Overvalued,False,False,False,False
2009-03-19,2009,Bridgeport,172270.0,285000.0,?,Triplex,6,6,2117.0,1.025953,East,2009,3,March,2009-03,112730.0,65.43797527137633,Overvalued,False,False,False,False
2009-03-19,2009,Waterbury,97800.0,260000.0,Three Family,Triplex,6,4,1021.0,1.025953,West,2009,3,March,2009-03,162200.0,165.84867075664621,Overvalued,False,False,False,True
2009-03-19,2009,Waterbury,72310.0,157000.0,Single Family,Detached House,3,3,936.0,1.025953,West,2009,3,March,2009-03,84690.0,117.12073018946202,Overvalued,False,False,False,False
2009-03-19,2009,Fairfield,361620.0,525000.0,Single Family,Detached House,3,1,1048.0,1.025953,West,2009,3,March,2009-03,163380.0,45.18002322880372,Overvalued,False,False,False,False
2009-03-20,2009,Fairfield,513240.0,867500.0,Single Family,Detached House,3,2,1089.0,1.025953,North,2009,3,March,2009-03,354260.0,69.02423817317434,Overvalued,False,False,False,False
2009-03-20,2009,Unknown,163310.0,405000.0,Two Family,Duplex,4,2,1467.0,1.025953,West,2009,3,March,2009-03,241690.0,147.99461147510868,Overvalued,False,False,False,False
2009-03-20,2009,Bridgeport,131670.0,200000.0,Single Family,Detached House,3,2,1021.0,1.025953,East,2009,3,March,2009-03,68330.0,51.894888736994005,Overvalued,False,False,False,False
2009-03-20,2009,Bridgeport,126630.0,269000.0,Single Family,Detached House,3,1,1053.0,1.025953,East,2009,3,March,2009-03,142370.0,112.42991392245123,Overvalued,False,False,False,False
2009-03-21,2009,Norwalk,248150.0,570000.0,Single Family,Detached House,3,2,1078.0,1.025953,West,2009,3,March,2009-03,321850.0,129.699778359863,Overvalued,False,False,False,False
2009-03-21,2009,Fairfield,355320.0,435000.0,Single Family,Detached House,3,3,1095.0,1.025953,West,2009,3,March,2009-03,79680.0,22.42485646740966,Overvalued,False,False,False,False
